"","source","dim","field","water","famly","species","type","prey_cellularity","vert","major_grouping_prey_1","major_grouping_prey_2","prey","prey_species","prey_type","data_type","replace_prey","starvation_time","temp","interference","preds_per_arena","arena_2d","arena_3d","pred_mass","pred_mass_source_code","pred_mass_reg_code","prey_mass","prey_mass_source_code","prey_mass_reg_code","a_units","mean_r2_of_fits","a","a_low","a_hi","h","h_low","h_hi","n_boots","notes_1","notes_2","alien","aspect_ratio","log_arena","log_pred","log_prey","log_a","log_h","log_se_a","log_se_h","duration","duration_notes","units","locale","country","country_notes","probable_duration","duration_sec","log_duration"
"105","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rotundiformis",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00354,"Original species length","Zooplankton","m^3 per pred per day",0.65,0.00122,0.000931,0.00173,0.000235,0.000167,0.000326,200,NA,NA,"N",NA,3.91202300542815,NA,-5.64362855183645,-6.70890442023697,-8.35592504382011,-8.84223105041179,-10.2891500333481,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"106","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rotundiformis",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00354,"Original species length","Zooplankton","m^3 per pred per day",0.77,0.00119,0.000642,0.00224,0.000238,0.000155,0.000321,200,NA,NA,"N",NA,3.91202300542815,NA,-5.64362855183645,-6.7338019718587,-8.3432398842928,-8.2023824515762,-10.0898171307276,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"107","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rotundiformis",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00354,"Original species length","Zooplankton","m^3 per pred per day",0.93,0.000912,0.000651,0.00155,3.39e-05,3.32e-06,6.22e-05,200,NA,NA,"N",NA,3.91202300542815,NA,-5.64362855183645,-6.99987056788994,-10.2920955435779,-8.94413733120153,-11.0883115380233,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"108","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rotundiformis",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00354,"Original species length","Zooplankton","m^3 per pred per day",0.61,0.00107,0.000554,0.00205,6.54e-05,1.18e-12,0.000218,200,NA,NA,"N",NA,3.91202300542815,NA,-5.64362855183645,-6.84009663050832,-9.63498829950112,-8.26255097304266,-10.3281354981039,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"109","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","6wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rotundiformis",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00354,"Original species length","Zooplankton","m^3 per pred per day",0.88,0.0027,0.00204,0.00355,9.47e-05,6.67e-05,0.000122,200,NA,NA,"N",NA,3.91202300542815,NA,-5.64362855183645,-5.91450350597185,-9.26479655777224,-8.01641790350375,-11.176453228349,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"110","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","1wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.69,0.000703,0.00033,0.00137,0.000121,1.23e-12,0.000282,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-7.26015366615361,-9.01972001236753,-8.5870793188804,-9.71286720309277,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"111","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.88,0.00135,0.000728,0.00194,3.2e-05,1.23e-12,4.54e-05,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-6.6076506865318,-10.3497746551645,-8.07571764578504,-11.042921874162,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"112","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.78,0.000986,0.00067,0.00221,5.84e-05,1.22e-12,0.000114,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-6.92185420336164,-9.74819466813009,-8.75291552493731,-10.4413418695804,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"113","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.88,0.00118,0.000631,0.00164,4.03e-05,5.79e-12,6.47e-05,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-6.74224084050456,-10.1191590890116,-8.20055929701469,-10.812306413244,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"114","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.89,0.00149,0.000762,0.00229,3.68e-05,3.65e-12,4.83e-05,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-6.50897915902477,-10.2100127127894,-7.91835669032753,-10.9031599925341,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"115","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","6wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.00276,"Original species length","Zooplankton","m^3 per pred per day",0.94,0.00361,0.00296,0.00502,4.72e-05,3.74e-05,5.76e-05,200,NA,NA,"N",NA,3.91202300542815,NA,-5.89252459925308,-5.62404750663735,-9.96111666537276,-8.03168537563454,-12.2262753528477,1,NA,"npp","Mexico","Mexico",NA,NA,60,4.0943445622221
"116","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","2wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Ceriodaphnia dubia",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.0106,"Original species length","Order","m^3 per pred per day",0.49,0.000974,0.000376,0.00211,0.00228,0.00117,0.00346,200,NA,NA,"N",NA,3.91202300542815,NA,-4.54690127786412,-6.93409925432174,-6.08357983601579,-8.11506698457359,-7.49654244421784,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"117","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","3wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Ceriodaphnia dubia",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.0106,"Original species length","Order","m^3 per pred per day",0.66,0.00138,0.000651,0.00251,0.000993,0.000549,0.00143,200,NA,NA,"N",NA,3.91202300542815,NA,-4.54690127786412,-6.58567177981302,-6.9147798939191,-7.91698400651556,-8.412833176092,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"118","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","4wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Ceriodaphnia dubia",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.0106,"Original species length","Order","m^3 per pred per day",0.7,0.00089,0.00047,0.00157,0.00102,0.000632,0.00136,200,NA,NA,"N",NA,3.91202300542815,NA,-4.54690127786412,-7.02428909523809,-6.88795265168596,-8.46840302724681,-8.54765239890095,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"119","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","5wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Ceriodaphnia dubia",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.0106,"Original species length","Order","m^3 per pred per day",0.53,0.00159,0.00108,0.0021,0.000586,0.000422,0.000789,200,NA,NA,"N",NA,3.91202300542815,NA,-4.54690127786412,-6.44402126275,-7.44219076838726,-8.27424701280585,-9.40879131070002,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"120","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","6wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Ceriodaphnia dubia",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.0106,"Original species length","Order","m^3 per pred per day",0.08,0.0134,0.00402,0.0866,0.00086,0.000763,0.000974,200,NA,NA,"N",NA,3.91202300542815,NA,-4.54690127786412,-4.31250057202527,-7.05857816871672,-5.36232269652395,-9.93394676002084,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"121","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","2wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Moina macrocopa",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.183,"Original species length","Order","m^3 per pred per day",0.52,0.000381,0.000162,0.000956,0.000275,2.25e-11,0.00404,200,NA,NA,"N",NA,3.91202300542815,NA,-1.69826912614072,-7.87271118283757,-8.1987394602977,-9.11958600870772,-8.89188672267583,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"122","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","3wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Moina macrocopa",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.183,"Original species length","Order","m^3 per pred per day",0.52,0.0018,0.00103,0.00321,0.00122,0.000804,0.00189,200,NA,NA,"N",NA,3.91202300542815,NA,-1.69826912614072,-6.31996861408002,-6.70890442023697,-7.86226722367649,-8.47797247826296,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"123","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","4wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Moina macrocopa",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.183,"Original species length","Order","m^3 per pred per day",0.74,0.00107,0.000735,0.00154,0.000601,0.000483,0.00077,200,NA,NA,"N",NA,3.91202300542815,NA,-1.69826912614072,-6.84009663050832,-7.41691562342907,-8.69452720669915,-9.73797311405855,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"124","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","5wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Moina macrocopa",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.183,"Original species length","Order","m^3 per pred per day",0.65,0.00102,0.000516,0.00164,0.000269,3.09e-11,0.000545,200,NA,NA,"N",NA,3.91202300542815,NA,-1.69826912614072,-6.88795265168596,-8.22079917836244,-8.28608147045285,-8.91394647379228,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"125","Morales-Ventura et al 2004 J APPL ICHTHYOL",3,NA,"Marine","Atheriniformes","Chirostoma riojai","6wk old larva","Metazoan","Invertebrate","Crustacean","Cladoceran",NA,"Moina macrocopa",NA,"Mean","N",2,25,NA,"2",NA,50,NA,NA,NA,0.183,"Original species length","Order","m^3 per pred per day",0.06,0.00348,0.00133,0.0245,0.000573,0.000369,0.000716,200,NA,NA,"N",NA,3.91202300542815,NA,-1.69826912614072,-5.66072298519575,-7.46462484124953,-6.83543461740251,-9.19053774468,1,NA,"npp","Puebla","Mexico",NA,NA,60,4.0943445622221
"126","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","1wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus calyciflorus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,2e-04,"Alternate species mass",NA,"m^3 per pred per day",0.07,0.000385,7.67e-05,0.00642,0.00348,0.00196,0.00537,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.51719319141624,-7.86226722367649,-5.66072298519575,-8.77758440363212,-7.1821921246839,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"127","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus calyciflorus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,2e-04,"Alternate species mass",NA,"m^3 per pred per day",0.65,0.000447,0.000291,0.000743,0.000763,0.000616,0.000926,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.51719319141624,-7.71295196335071,-7.17825252667982,-9.45880173127468,-9.51822515174548,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"128","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus calyciflorus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,2e-04,"Alternate species mass",NA,"m^3 per pred per day",0.7,0.000765,0.000547,0.00111,0.000586,0.000514,0.00065,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.51719319141624,-7.17563472413774,-7.44219076838726,-9.12416267573513,-10.2319916195082,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"129","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus calyciflorus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,2e-04,"Alternate species mass",NA,"m^3 per pred per day",0.51,0.000848,0.000498,0.00149,0.000681,0.000546,0.000811,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.51719319141624,-7.07262992217237,-7.29194825181476,-8.65072458404076,-9.60338296008579,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"130","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus calyciflorus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,2e-04,"Alternate species mass",NA,"m^3 per pred per day",0.73,0.00115,0.000861,0.00164,0.000526,0.000472,0.000575,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.51719319141624,-6.76799333660698,-7.55020934522656,-8.84223105041179,-10.5196736919599,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"131","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","1wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus havanaensis",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.0024,"Original species length","Zooplankton","m^3 per pred per day",0.21,0.000471,0.000155,0.00586,0.000418,2.4e-11,0.00107,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-6.03228654162824,-7.66065246394786,-7.78002912543952,-8.75291552493731,-8.47317636341573,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"132","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus havanaensis",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.0024,"Original species length","Zooplankton","m^3 per pred per day",0.42,0.000385,0.000182,0.00114,0.000435,0.000163,0.000727,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-6.03228654162824,-7.86226722367649,-7.74016452687559,-9.19545175948243,-8.90285567222822,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"133","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus havanaensis",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.0024,"Original species length","Zooplankton","m^3 per pred per day",0.66,0.00124,0.000884,0.00179,0.000275,0.000234,0.000323,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-6.03228654162824,-6.69264389936519,-8.1987394602977,-8.63372700767219,-10.7950856718199,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"134","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus havanaensis",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.0024,"Original species length","Zooplankton","m^3 per pred per day",0.89,0.00109,0.000936,0.00138,0.000177,0.00016,0.000195,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-6.03228654162824,-6.82157758274108,-8.63936082539045,-9.47170513611059,-11.675444394468,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"135","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus havanaensis",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.0024,"Original species length","Zooplankton","m^3 per pred per day",0.95,0.001,0.000881,0.00117,0.000119,0.000108,0.000127,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-6.03228654162824,-6.90775527898214,-9.03638706485274,-9.72953424541269,-12.1107624657258,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"136","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","1wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus patulus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.49,0.000219,0.000121,0.000478,0.00117,0.000827,0.0015,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-8.42643882814777,-6.75075153017247,-9.92369025985365,-8.67092729135828,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"137","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus patulus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.74,0.000963,0.000674,0.00133,0.00052,0.00047,0.000568,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-6.94545714616615,-7.5616817463888,-8.84223105041179,-10.5966347330961,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"138","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus patulus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.51,0.00299,0.00206,0.00452,0.000449,0.000423,0.00048,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-5.81248189157954,-7.70848767022202,-7.67347315237692,-11.2505612005027,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"139","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus patulus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.77,0.00214,0.00176,0.0027,0.00038,0.000354,0.000403,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-6.14694944994838,-7.87533930524384,-8.56848648580379,-11.2505612005027,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"140","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus patulus",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.84,0.00177,0.00143,0.00221,0.00033,0.000307,0.000357,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-6.3367757323964,-8.01641790350375,-8.67971212091401,-11.3731635225951,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"141","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","1wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.32,0.000232,0.000111,0.00105,0.00143,0.000881,0.00225,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-8.36877318629796,-6.55008083471032,-9.71286719292748,-8.20055929701469,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"142","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","2wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.78,0.000123,7.63e-05,0.000221,0.000354,4.83e-05,0.000611,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-9.00332620259186,-7.9462136448305,-10.6649135738494,-8.78605350962743,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"143","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","3wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.4,0.000528,0.000272,0.00107,0.000876,0.00063,0.00116,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-7.54641427425801,-7.04014446702788,-8.96348029404466,-9.00332620259186,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"144","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","4wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.57,0.00072,0.000481,0.00118,0.000677,0.000574,0.000768,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-7.23625934595417,-7.297839285052,-9.03219418659271,-9.87392875029458,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"145","Alanis et al 2009 BRAZ ARCH BIOL & TECH",3,NA,"Fresh","Characiformes","Moenkhausia sanctaefilomenae","5wk old larva","Metazoan","Invertebrate","Rotifer",NA,"Rotifer","Brachionus rubens",NA,"Mean","N",6,23,NA,"1",NA,25,NA,NA,NA,0.00015,"Alternate species mass",NA,"m^3 per pred per day",0.62,0.00123,9e-04,0.00221,0.000563,0.000505,0.000634,200,NA,NA,"Y",2.539885,3.2188758248682,NA,-8.80487526386802,-6.70074110959781,-7.48223092982458,-8.70956508406369,-10.4482147279778,1,NA,"npp","Morelos","Mexico","aquaculture",NA,60,4.0943445622221
"146","Ware 1972 J FISH RES BOARD CAN",3,NA,"Fresh","Salmoniformes","Oncorhynchus mykiss","Wild caught","Metazoan","Invertebrate","Crustacean","Amphipod","Amphipod","Crangonyx richmondensis",NA,"Raw data","N",48,10,NA,"1",NA,227000,37100,"Original species length","Species",5.2,"Original species mass",NA,"m^3 per pred per day",0.6,353,251,457,1.26e-05,9.78e-06,1.53e-05,200,NA,NA,"Y",1.672955,12.3327052964635,10.5213722485955,1.64865862558738,5.8664680569333,-11.2818137440068,3.93182563272433,-13.4719208535742,1,NA,"nps","British Columbia","Canada",NA,NA,60,4.0943445622221
"147","Ryer et al 2002 CJFAS",3,NA,"Marine","Gadiformes","Gadus chalcogrammus","Juvenile","Metazoan","Invertebrate","Crustacean","Branchiopod","Shrimp","Artemia spp.",NA,"Mean","N",19,11,NA,"1",NA,93000,3260,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.68,1.11,0.808,1.67,1.71e-05,1.85e-12,4.81e-05,200,NA,NA,"N",NA,11.4403547721354,8.08948247436075,NA,0.104360015324243,-10.9764320944557,-1.89047544216721,-11.6695793832027,1,NA,"n","Washington","USA",NA,NA,60,4.0943445622221
"148","Ryer et al 2002 CJFAS",3,NA,"Marine","Scorpaeniformes","Anoplopoma fimbria","Juvenile","Metazoan","Invertebrate","Crustacean","Branchiopod","Shrimp","Artemia spp.",NA,"Mean","N",19,11,NA,"1",NA,93000,5050,"Original species length","Species",NA,NA,NA,"m^3 per pred per day",0.66,1.3,0.829,2.15,1.27e-05,1.23e-12,3.05e-05,200,NA,NA,"N",2.19379,11.4403547721354,8.52714352226941,NA,0.262364264467491,-11.2739085644997,-1.44604436552566,-11.9670558419101,1,NA,"n","Washington","USA",NA,NA,60,4.0943445622221
